小区,位置,户型,面积,朝向,装修,楼层,年份,台楼,其他
宝田雅苑 ,西乡,2室1厅 , 52.38平米 , 东南 , 精装 , 低楼层(共17层) , 2010年建 , 板塔结合,
玉湖湾 ,碧海,2室1厅 , 42.03平米 , 东南 , 其他 , 10层 , 2011年建 , 板塔结合,
花样年花乡 ,宝安中心,1室0厅 , 28.11平米 , 南 , 其他 , 20层 , 2011年建 , 板塔结合,
福城·前海新纪元 ,新安,1室1厅 , 33平米 , 南 , 其他 , 29层  , 暂无数据,,
中粮锦云 ,西乡,2室1厅 , 63.41平米 , 东 , 其他 , 低楼层(共31层) , 2012年建 , 板塔结合,
宝安山庄 ,松岗,2室1厅 , 56.6平米 , 东南 , 简装 , 中楼层(共7层) , 2007年建 , 板塔结合,
凤凰雅居 ,桃源居,2室1厅 , 48.92平米 , 东南 , 其他 , 低楼层(共30层) , 2009年建 , 板塔结合,
星航华府二期 ,福永,3室2厅 , 88.74平米 , 东南 南 , 简装 , 中楼层(共30层) , 2017年建 , 板塔结合,
天欣花园二期 ,福永,2室1厅 , 70.87平米 , 西南 , 简装 , 中楼层(共11层) , 2002年建 , 板塔结合,
卡罗社区 ,翻身,1室1厅 , 46.08平米 , 南 , 其他 , 15层 , 2007年建 , 板塔结合,
花样年花郡 ,宝安中心,1室1厅 , 37.21平米 , 西南 , 精装 , 27层 , 2010年建 , 板塔结合,
富通好旺角一期 ,宝安中心,1室1厅 , 37.58平米 , 南 , 其他 , 中楼层(共21层) , 2004年建 , 塔楼,
财富港大厦 ,西乡,2室2厅 , 61.57平米 , 东北 , 精装 , 33层 , 2010年建 , 板楼,
桃源居十四区 ,桃源居,3室1厅 , 113.33平米 , 东南 , 其他 , 中楼层(共9层) , 2002年建 , 塔楼,
雅乐居 ,西乡,2室1厅 , 41.7平米 , 东南 南 , 精装 , 低楼层(共15层) , 2008年建 , 板塔结合,
西城上筑花园 ,宝安中心,2室2厅 , 72.74平米 , 南 , 精装 , 31层 , 2006年建 , 板塔结合,
翠景居 ,西乡,3室1厅 , 60.42平米 , 西南 , 其他 , 低楼层(共9层) , 2009年建 , 塔楼,
中海西岸华府南区 ,松岗,2室2厅 , 54.22平米 , 南 , 精装 , 高楼层(共17层) , 2008年建 , 塔楼,
富瑰园 ,西乡,2室1厅 , 77.59平米 , 西南 , 其他 , 中楼层(共12层) , 2000年建 , 塔楼,
新锦安雅园三期 ,翻身,2室1厅 , 76.09平米 , 东南 , 其他 , 中楼层(共16层) , 2005年建 , 板塔结合,
福永花苑 ,福永,2室1厅 , 57.54平米 , 东北 , 精装 , 8层 , 1999年建 , 板塔结合,
鸿荣源西城雅筑 ,宝安中心,2室1厅 , 66.34平米 , 东北 , 精装 , 31层 , 2013年建 , 板楼,
中海西岸华府南区 ,松岗,1室1厅 , 32.04平米 , 北 , 精装 , 低楼层(共17层)  , 塔楼,,
华苑 ,西乡,2室2厅 , 47.56平米 , 西南 , 其他 , 高楼层(共24层) , 2017年建 , 塔楼,
西城上筑花园 ,宝安中心,2室1厅 , 72.74平米 , 南 , 精装 , 31层 , 2006年建 , 板塔结合,
天欣花园二期 ,福永,2室1厅 , 70.87平米 , 西南 , 简装 , 中楼层(共11层) , 2002年建 , 板塔结合,
花样年花郡 ,宝安中心,1室1厅 , 37.21平米 , 西南 , 精装 , 27层 , 2010年建 , 板塔结合,
富通好旺角一期 ,宝安中心,1室1厅 , 37.58平米 , 南 , 其他 , 中楼层(共21层) , 2004年建 , 塔楼,
财富港大厦 ,西乡,2室2厅 , 61.57平米 , 东北 , 精装 , 33层 , 2010年建 , 板楼,
桃源居十四区 ,桃源居,3室1厅 , 113.33平米 , 东南 , 其他 , 中楼层(共9层) , 2002年建 , 塔楼,
花样年花郡 ,宝安中心,2室1厅 , 56.61平米 , 西南 , 精装 , 20层 , 2010年建 , 塔楼,
雅乐居 ,西乡,2室1厅 , 41.7平米 , 东南 南 , 精装 , 低楼层(共15层) , 2008年建 , 板塔结合,
卡罗社区 ,翻身,1室1厅 , 35.8平米 , 东北 , 其他 , 16层 , 2007年建 , 板塔结合,
卡罗社区 ,翻身,1室1厅 , 46.08平米 , 南 , 其他 , 15层 , 2007年建 , 板塔结合,
凤凰雅居 ,桃源居,2室1厅 , 48.92平米 , 东南 , 其他 , 低楼层(共30层) , 2009年建 , 板塔结合,
星航华府二期 ,福永,3室2厅 , 88.74平米 , 东南 南 , 简装 , 中楼层(共30层) , 2017年建 , 板塔结合,
新安湖花园 ,新安,2室1厅 , 73.88平米 , 东南 , 简装 , 高楼层(共33层) , 1999年建 , 板塔结合,
佳华书苑雅阁 ,新安,2室2厅 , 65.26平米 , 东北 , 精装 , 低楼层(共16层) , 2008年建 , 板塔结合,
金石雅苑 ,福永,2室2厅 , 72.61平米 , 北 , 精装 , 低楼层(共17层) , 2003年建 , 板塔结合,
卡罗社区 ,翻身,1室1厅 , 34.52平米 , 南 , 精装 , 16层 , 2007年建 , 板塔结合,
青春庭园 ,西乡,1室1厅 , 40.88平米 , 东北 , 简装 , 低楼层(共6层) , 2003年建 , 板塔结合,
翠景居 ,西乡,1室1厅 , 39.45平米 , 东 , 精装 , 中楼层(共8层) , 1997年建 , 塔楼,
弘雅花园雅豪轩三期 ,新安,2室2厅 , 78平米 , 西南 , 简装 , 高楼层(共8层) , 2000年建 , 板楼,
福城·前海新纪元 ,新安,1室1厅 , 33平米 , 南 , 其他 , 29层  , 暂无数据,,
中粮锦云 ,西乡,2室1厅 , 63.41平米 , 东 , 其他 , 低楼层(共31层) , 2012年建 , 板塔结合,
碧湾雅园 ,西乡,2室1厅 , 40.41平米 , 东南 , 精装 , 3层 , 2009年建 , 板塔结合,
天欣花园三期 ,福永,3室2厅 , 93.77平米 , 东南 , 简装 , 中楼层(共12层) , 2006年建 , 板塔结合,
松茂御龙湾 ,碧海,3室2厅 , 88.15平米 , 东南 , 精装 , 低楼层(共31层) , 2016年建 , 塔楼,
海乐华府 ,翻身,4室2厅 , 123.99平米 , 东南 , 毛坯 , 中楼层(共44层) , 2021年建 , 塔楼,
天福华府 ,西乡,3室2厅 , 89.79平米 , 南 , 其他 , 低楼层(共25层) , 2016年建 , 塔楼,
西岸观邸 ,宝安中心,4室2厅 , 96.39平米 , 南 , 精装 , 中楼层(共29层) , 2007年建 , 板塔结合,
中海西岸华府北区 ,松岗,2室1厅 , 77.75平米 , 南 , 精装 , 高楼层(共17层) , 2007年建 , 板塔结合,
博林君瑞 ,沙井,3室2厅 , 89平米 , 东南 , 精装 , 高楼层(共32层)  , 塔楼,,
金石雅苑 ,福永,3室2厅 , 106.47平米 , 东南 , 其他 , 高楼层(共18层) , 2005年建 , 板塔结合,
中粮幸福花园 ,西乡,3室2厅 , 59.15平米 , 西南 , 简装 , 低楼层(共27层) , 2009年建 , 板塔结合,
华侨城四海云亭 ,沙井,4室2厅 , 129平米 , 南 , 毛坯 , 高楼层(共33层)  , 塔楼,,
金石雅苑 ,福永,3室2厅 , 83.98平米 , 东南 , 简装 , 低楼层(共17层) , 2014年建 , 板塔结合,
宝创红禧公馆 ,西乡,3室2厅 , 53.88平米 , 东南 , 其他 , 高楼层(共10层) , 2019年建 , 板楼,
泰华阳光海小区 ,碧海,3室2厅 , 102.13平米 , 东 , 精装 , 25层 , 2008年建 , 板塔结合,
佳华书苑雅阁 ,新安,4室2厅 , 87.85平米 , 东南 , 其他 , 中楼层(共17层) , 2008年建 , 板塔结合,
金泓凯旋城二期 ,宝安中心,3室2厅 , 102平米 , 南 , 其他 , 高楼层(共28层) , 2008年建 , 塔楼,
泰华阳光海小区 ,碧海,3室1厅 , 81.13平米 , 东南 , 其他 , 25层 , 2008年建 , 板塔结合,
松河瑞园一期 ,松岗,4室2厅 , 119.96平米 , 北 , 其他 , 低楼层(共39层)  , 塔楼,,
福城·前海新纪元 ,新安,3室1厅 , 86平米 , 西北 , 简装 , 29层  , 板塔结合,,
鸿荣源·壹方中心·玖誉 ,宝安中心,3室2厅 , 100.9平米 , 东南 , 精装 , 46层 , 2017年建 , 塔楼,
白金时代 ,新安,2室1厅 , 43.26平米 , 东南 , 其他 , 15层 , 2004年建 , 塔楼,
中医院综合楼 ,新安,3室2厅 , 91.1平米 , 东南 , 简装 , 中楼层(共4层) , 1990年建 , 板塔结合,
玖悦 ,新安,3室2厅 , 105.1平米 , 东北 , 其他 , 中楼层(共27层) , 2018年建 , 塔楼,
君成雍和园 ,西乡,3室1厅 , 84.5平米 , 南 , 其他 , 高楼层(共41层)  , 板塔结合,,
联建君钰府 ,新安,3室2厅 , 84.51平米 , 南 , 其他 , 中楼层(共33层)  , 板塔结合,,
嘉华花园东区 ,西乡,3室2厅 , 85.4平米 , 东 , 简装 , 高楼层(共8层) , 1999年建 , 塔楼,
中熙香莎公馆 ,沙井,3室2厅 , 87.9平米 , 东南 , 毛坯 , 高楼层(共32层)  , 板楼,,
博林君瑞 ,沙井,4室2厅 , 130平米 , 南 北 , 精装 , 低楼层(共32层) , 2019年建 , 塔楼,
拾悦城 ,沙井,3室2厅 , 86.32平米 , 南 北 , 毛坯 , 32层  , 板塔结合,,
深业新岸线三期 ,宝安中心,4室2厅 , 136.75平米 , 东南 南 , 简装 , 25层 , 2008年建 , 塔楼,
富源商贸中心 ,翻身,3室2厅 , 112.95平米 , 东南 , 其他 , 中楼层(共26层) , 2002年建 , 板塔结合,
文汇花园 ,新安,3室2厅 , 104.41平米 , 南 , 简装 , 中楼层(共8层) , 1994年建 , 板楼,
招商果岭花园 ,西乡,3室1厅 , 88.01平米 , 东南 , 其他 , 30层 , 2012年建 , 塔楼,
鸿荣源·壹方中心·玖誉 ,宝安中心,3室1厅 , 129.51平米 , 西南 , 精装 , 46层 , 2017年建 , 塔楼,
中熙香莎公馆 ,沙井,3室2厅 , 87.9平米 , 东南 , 毛坯 , 高楼层(共32层)  , 板楼,,
拾悦城 ,沙井,3室2厅 , 86.32平米 , 南 北 , 毛坯 , 32层  , 板塔结合,,
富安楼 ,新安,4室2厅 , 109.4平米 , 东南 , 简装 , 高楼层(共7层) , 1998年建 , 塔楼,
深业新岸线一期 ,宝安中心,4室1厅 , 151.8平米 , 东南 , 其他 , 低楼层(共25层) , 2005年建 , 塔楼,
中熙香莎公馆 ,沙井,3室2厅 , 82.99平米 , 南 北 , 精装 , 中楼层(共32层) , 2016年建 , 板楼,
黄金大厦 ,新安,3室1厅 , 78.2平米 , 东南 , 精装 , 高楼层(共32层) , 2011年建 , 塔楼,
万科金色领域 ,福永,3室2厅 , 89平米 , 南 , 精装 , 高楼层(共15层) , 2012年建 , 板塔结合,
龙井社区十四区 ,新安,3室2厅 , 90.82平米 , 南 北 , 简装 , 低楼层(共5层)  , 塔楼,,
华联城市全景壹号 ,新安,4室1厅 , 141.76平米 , 东南 , 精装 , 低楼层(共39层) , 2016年建 , 板塔结合,
金石雅苑 ,福永,3室2厅 , 88.4平米 , 西南 , 其他 , 高楼层(共18层) , 2005年建 , 板塔结合,
润科华府 ,曦城,4室2厅 , 143.47平米 , 南 北 , 毛坯 , 高楼层(共30层) , 2018年建 , 塔楼,
国雄楼 ,西乡,3室2厅 , 100.1平米 , 东南 , 简装 , 高楼层(共8层) , 1994年建 , 板楼,
锦明花园 ,西乡,3室2厅 , 130.09平米 , 东南 , 精装 , 低楼层(共22层) , 2009年建 , 板塔结合,
中熙香缇湾 ,西乡,4室2厅 , 88.19平米 , 东 , 简装 , 30层 , 2009年建 , 塔楼,
天骄世家 ,西乡,3室2厅 , 85.24平米 , 东北 , 其他 , 中楼层(共17层) , 2003年建 , 板塔结合,
宏发前城 ,西乡,3室1厅 , 88.25平米 , 西南 , 毛坯 , 51层 , 2019年建 , 板塔结合,
中粮凤凰里 ,福永,4室2厅 , 123.78平米 , 东南 , 其他 , 28层 , 2016年建 , 塔楼,
幸福海岸三期 ,宝安中心,4室2厅 , 147.41平米 , 东南 , 简装 , 32层 , 2013年建 , 板塔结合,
博林君瑞 ,沙井,4室2厅 , 88.08平米 , 南 , 毛坯 , 高楼层(共32层) , 2019年建 , 塔楼,
拾悦城 ,沙井,3室2厅 , 86.01平米 , 南 , 简装 , 32层  , 板塔结合,,
华侨城四海云亭 ,沙井,4室2厅 , 129.2平米 , 南 , 简装 , 低楼层(共33层) , 2017年建 , 板楼,
新锦安雅园一期 ,翻身,3室2厅 , 111.66平米 , 南 , 其他 , 高楼层(共14层) , 2001年建 , 板塔结合,
桃源居六区 ,桃源居,3室2厅 , 84.24平米 , 东南 , 其他 , 高楼层(共18层) , 2012年建 , 塔楼,
中信领航 ,西乡,3室2厅 , 79.16平米 , 东南 , 精装 , 低楼层(共30层) , 2013年建 , 塔楼,
碧海富通城二期 ,碧海,3室2厅 , 98.15平米 , 东南 西北 , 精装 , 11层 , 2007年建 , 板塔结合,
华强城市花园一期 ,福永,3室2厅 , 89平米 , 南 北 , 其他 , 中楼层(共33层)  , 板塔结合,,
中熙香缇湾 ,西乡,4室2厅 , 88.19平米 , 东 , 简装 , 30层 , 2009年建 , 塔楼,
宏发前城 ,西乡,3室1厅 , 88.25平米 , 西南 , 毛坯 , 51层 , 2019年建 , 板塔结合,
石鸿花园 ,翻身,3室2厅 , 108.64平米 , 东南 , 其他 , 低楼层(共30层) , 1998年建 , 板塔结合,
中粮凤凰里 ,福永,4室2厅 , 123.78平米 , 东南 , 其他 , 28层 , 2016年建 , 塔楼,
拾悦城 ,沙井,3室2厅 , 86.01平米 , 南 , 简装 , 32层  , 板塔结合,,
松河瑞园二期 ,松岗,4室2厅 , 89.91平米 , 南 , 其他 , 中楼层(共32层) , 2017年建 , 塔楼,
领翔华府 ,西乡,4室2厅 , 128.17平米 , 南 , 精装 , 低楼层(共31层) , 2015年建 , 塔楼,
新锦安雅园一期 ,翻身,3室2厅 , 111.66平米 , 南 , 其他 , 高楼层(共14层) , 2001年建 , 板塔结合,
宏发前城 ,西乡,3室2厅 , 88.92平米 , 东南 , 精装 , 40层 , 2017年建 , 板塔结合,
宏发世纪城二期 ,石岩,3室1厅 , 88.3平米 , 西南 , 简装 , 高楼层(共31层) , 2016年建 , 板塔结合,
鸿景园 ,新安,4室2厅 , 142.54平米 , 东北 , 其他 , 中楼层(共19层) , 2005年建 , 塔楼,
尚都二期 ,宝安中心,4室2厅 , 149.32平米 , 南 , 精装 , 中楼层(共31层) , 2006年建 , 塔楼,
桃源居七区 ,桃源居,3室2厅 , 116.17平米 , 东南 , 精装 , 中楼层(共8层) , 2004年建 , 板楼,
丽景城 ,西乡,3室2厅 , 109.95平米 , 北 , 其他 , 高楼层(共25层) , 2003年建 , 板塔结合,
鸿荣源西城雅筑 ,宝安中心,4室2厅 , 96.94平米 , 西南 , 其他 , 31层 , 2013年建 , 塔楼,
中海西岸华府北区 ,松岗,3室2厅 , 129.12平米 , 东南 , 精装 , 高楼层(共32层) , 2008年建 , 板塔结合,
富通苑 ,翻身,4室2厅 , 127.26平米 , 东南 , 简装 , 中楼层(共18层) , 1998年建 , 塔楼,
熙龙湾一期 ,宝安中心,4室2厅 , 144.84平米 , 西南 , 其他 , 中楼层(共32层) , 2009年建 , 塔楼,
龙江一巷8号畜牧局宿舍楼 ,新安,3室2厅 , 90.2平米 , 西南 , 简装 , 中楼层(共7层) , 1992年建 , 板塔结合,
深业新岸线三期 ,宝安中心,4室2厅 , 153.16平米 , 东南 , 精装 , 25层 , 2008年建 , 塔楼,
松河瑞园一期 ,松岗,3室1厅 , 79.72平米 , 南 , 毛坯 , 中楼层(共39层)  , 塔楼,,
华强城市花园一期 ,福永,3室2厅 , 89平米 , 南 , 其他 , 低楼层(共32层)  , 板塔结合,,
万科金色领域 ,福永,3室2厅 , 89平米 , 南 , 精装 , 中楼层(共15层) , 2012年建 , 板塔结合,
桃源居十六区 ,桃源居,2室1厅 , 65.97平米 , 北 , 精装 , 低楼层(共18层) , 2009年建 , 塔楼,
创业二村 ,新安,3室2厅 , 97.47平米 , 东南 南 , 简装 , 中楼层(共8层) , 2001年建 , 板塔结合,
惠中家属楼 ,新安,3室1厅 , 83.7平米 , 东南 , 精装 , 高楼层(共8层)  , 板楼,,
北方园小区 ,新安,3室2厅 , 88.68平米 , 西南 , 简装 , 中楼层(共7层) , 1994年建 , 板塔结合,
碧海富通城二期 ,碧海,3室1厅 , 99.65平米 , 西北 , 精装 , 11层 , 2007年建 , 板塔结合,
鸿荣源·壹方中心·玖誉 ,宝安中心,4室1厅 , 148.12平米 , 东 , 毛坯 , 67层 , 2016年建 , 塔楼,
华强城市花园一期 ,福永,3室2厅 , 86.06平米 , 南 北 , 毛坯 , 低楼层(共33层) , 2015年建 , 板塔结合,
桃源居十五区 ,桃源居,3室2厅 , 130.01平米 , 南 , 其他 , 高楼层(共24层) , 2007年建 , 塔楼,
岭下花园 ,新安,3室2厅 , 90.9平米 , 东南 , 简装 , 中楼层(共7层) , 1991年建 , 板塔结合,
鸿荣源西城雅筑 ,宝安中心,4室2厅 , 96.94平米 , 西南 , 其他 , 31层 , 2013年建 , 塔楼,
熙龙湾一期 ,宝安中心,4室2厅 , 144.84平米 , 西南 , 其他 , 中楼层(共32层) , 2009年建 , 塔楼,
富通苑 ,翻身,4室2厅 , 127.26平米 , 东南 , 简装 , 中楼层(共18层) , 1998年建 , 塔楼,
惠中家属楼 ,新安,3室1厅 , 83.7平米 , 东南 , 精装 , 高楼层(共8层)  , 板楼,,
北方园小区 ,新安,3室2厅 , 88.68平米 , 西南 , 简装 , 中楼层(共7层) , 1994年建 , 板塔结合,
丽景城 ,西乡,3室2厅 , 109.95平米 , 北 , 其他 , 高楼层(共25层) , 2003年建 , 板塔结合,
创业二村 ,新安,3室2厅 , 97.47平米 , 东南 南 , 简装 , 中楼层(共8层) , 2001年建 , 板塔结合,
龙江一巷8号畜牧局宿舍楼 ,新安,3室2厅 , 90.2平米 , 西南 , 简装 , 中楼层(共7层) , 1992年建 , 板塔结合,
深业新岸线三期 ,宝安中心,4室2厅 , 153.16平米 , 东南 , 精装 , 25层 , 2008年建 , 塔楼,
松河瑞园一期 ,松岗,3室1厅 , 79.72平米 , 南 , 毛坯 , 中楼层(共39层)  , 塔楼,,
华强城市花园一期 ,福永,3室2厅 , 89平米 , 南 , 其他 , 低楼层(共32层)  , 板塔结合,,
桃源居十六区 ,桃源居,2室1厅 , 65.97平米 , 北 , 精装 , 低楼层(共18层) , 2009年建 , 塔楼,
万科金色领域 ,福永,3室2厅 , 89平米 , 南 , 精装 , 中楼层(共15层) , 2012年建 , 板塔结合,
泰华阳光海小区 ,碧海,4室2厅 , 116.98平米 , 南 , 毛坯 , 25层 , 2008年建 , 板塔结合,
领翔华府 ,西乡,4室2厅 , 150.31平米 , 南 , 精装 , 中楼层(共4层) , 2013年建 , 板楼,
鸿荣源·壹方中心·玖誉 ,宝安中心,4室2厅 , 179.63平米 , 东南 , 其他 , 52层 , 2016年建 , 塔楼,
宏发前城 ,西乡,3室2厅 , 88.4平米 , 西南 , 毛坯 , 51层 , 2019年建 , 板塔结合,
中粮凤凰里 ,福永,3室1厅 , 89.33平米 , 东南 东北 , 毛坯 , 28层 , 2016年建 , 塔楼,
天健时尚空间 ,宝安中心,3室2厅 , 59.25平米 , 东南 , 其他 , 低楼层(共26层) , 2010年建 , 板塔结合,
星航华府二期 ,福永,4室1厅 , 171.75平米 , 西南 , 精装 , 中楼层(共32层) , 2015年建 , 板塔结合,
松河瑞园二期 ,松岗,3室2厅 , 76平米 , 南 , 精装 , 高楼层(共32层) , 2015年建 , 板塔结合,
新锦安雅园三期 ,翻身,4室2厅 , 151.75平米 , 东南 , 其他 , 高楼层(共17层) , 2005年建 , 板塔结合,
幸福海岸二期 ,宝安中心,6室3厅 , 291.8平米 , 东南 , 精装 , 29层 , 2007年建 , 塔楼,
金域豪庭二期 ,福永,5室2厅 , 241.98平米 , 南 , 精装 , 高楼层(共13层) , 2005年建 , 板楼,
玉湖湾 ,碧海,4室2厅 , 134.2平米 , 南 , 其他 , 30层 , 2011年建 , 板塔结合,
翠湖花园 ,西乡,6室1厅 , 134.7平米 , 东南 , 精装 , 高楼层(共8层) , 1997年建 , 板塔结合,
中熙香缇湾 ,西乡,6室2厅 , 137.35平米 , 东南 西北 , 其他 , 28层 , 2009年建 , 塔楼,
深业新岸线一期 ,宝安中心,6室1厅 , 175.92平米 , 南 北 , 简装 , 中楼层(共4层) , 2005年建 , 板楼,
中熙香缇湾 ,西乡,6室2厅 , 137.35平米 , 东南 西北 , 其他 , 28层 , 2009年建 , 塔楼,
润恒尚园 ,西乡,5室2厅 , 103.46平米 , 西南 , 精装 , 28层 , 2015年建 , 板塔结合,
金港华庭 ,西乡,3室2厅 , 87.74平米 , 东 , 简装 , 31层 , 2009年建 , 塔楼,
桃源居九区 ,桃源居,5室2厅 , 198.45平米 , 南 , 精装 , 高楼层(共9层) , 2004年建 , 板楼,
润科华府 ,曦城,5室2厅 , 142.42平米 , 东南 , 精装 , 低楼层(共30层) , 2018年建 , 塔楼,
石鸿融景园 ,翻身,4室2厅 , 138.34平米 , 东南 , 其他 , 高楼层(共29层) , 2004年建 , 板塔结合,
联投东方二期 ,松岗,5室2厅 , 138.58平米 , 南 , 精装 , 中楼层(共33层) , 2014年建 , 板塔结合,
泰华锦绣城 ,翻身,5室2厅 , 181平米 , 西南 , 其他 , 高楼层(共13层) , 2000年建 , 板塔结合,
润恒尚园 ,西乡,6室2厅 , 206平米 , 东南 , 简装 , 32层 , 2015年建 , 塔楼,
幸福海岸二期 ,宝安中心,5室2厅 , 157.52平米 , 南 , 其他 , 32层 , 2008年建 , 塔楼,
富瑰园 ,西乡,5室2厅 , 141.53平米 , 西南 , 简装 , 低楼层(共17层) , 2001年建 , 塔楼,
恒安花园 ,新安,4室2厅 , 144.14平米 , 北 , 简装 , 中楼层(共11层) , 2004年建 , 板塔结合,
建安新村 ,新安,4室2厅 , 121.68平米 , 西北 , 精装 , 高楼层(共7层) , 1999年建 , 板塔结合,
鸿景园 ,新安,3室2厅 , 119平米 , 东北 , 简装 , 中楼层(共28层) , 2005年建 , 塔楼,
桃源居七区 ,桃源居,5室2厅 , 192.37平米 , 南 北 , 精装 , 高楼层(共8层) , 2004年建 , 板楼,
鸿荣源·壹方中心·玖誉 ,宝安中心,4室2厅 , 148.02平米 , 东南 , 其他 , 52层 , 2016年建 , 塔楼,
恒安花园 ,新安,4室2厅 , 149.88平米 , 西北 , 精装 , 低楼层(共25层) , 2004年建 , 板塔结合,
第五大道高发西岸花园三期 ,宝安中心,4室3厅 , 180.94平米 , 西南 南 , 其他 , 26层 , 2010年建 , 板塔结合,
勤诚达22世纪一期 ,新安,3室2厅 , 89.52平米 , 西南 , 精装 , 中楼层(共30层) , 2013年建 , 板塔结合,
招商华侨城曦城六期 ,曦城,5室2厅 , 231.27平米 , 南 北 , 精装 , 上叠(共2层) , 2009年建 , 板塔结合 , 叠拼别墅 
鸿荣源·壹方中心·玖誉 ,宝安中心,5室2厅 , 178.52平米 , 东南 , 简装 , 67层 , 2016年建 , 塔楼,
中海西岸华府北区 ,松岗,4室3厅 , 157.09平米 , 南 , 精装 , 高楼层(共33层) , 2008年建 , 板塔结合,
宝利豪庭 ,松岗,5室2厅 , 144.56平米 , 北 , 其他 , 低楼层(共23层) , 2004年建 , 板塔结合,
中南花园 ,翻身,4室2厅 , 184.67平米 , 西南 , 精装 , 高楼层(共11层) , 2002年建 , 板塔结合,
文汇花园 ,新安,3室2厅 , 93.6平米 , 东南 , 精装 , 低楼层(共8层) , 1994年建 , 板楼,
天悦龙庭一期 ,宝安中心,5室2厅 , 179.85平米 , 南 北 , 精装 , 28层 , 2005年建 , 塔楼,
中海九号公馆三期 ,曦城,5室3厅 , 212.18平米 , 南 , 其他 , 3层 , 2015年建 , 塔楼 , 联排别墅 
金泓凯旋城二期 ,宝安中心,4室2厅 , 172.7平米 , 南 , 精装 , 高楼层(共23层) , 2008年建 , 塔楼,
32区 ,新安,4室2厅 , 122.04平米 , 西南 , 其他 , 低楼层(共6层) , 1992年建 , 板楼,
桃源居十五区 ,桃源居,6室3厅 , 253.91平米 , 南 北 , 其他 , 中楼层(共18层) , 2007年建 , 板楼,
碧涛阁 ,翻身,5室2厅 , 156平米 , 东南 , 精装 , 高楼层(共7层) , 1999年建 , 板塔结合,
天福华府 ,西乡,4室2厅 , 125.66平米 , 南 北 , 其他 , 中楼层(共25层) , 2016年建 , 塔楼,
棕榈堡花园 ,沙井,4室2厅 , 135.78平米 , 南 , 精装 , 低楼层(共11层)  , 板塔结合,,
桃源居十五区 ,桃源居,6室3厅 , 253.91平米 , 南 北 , 其他 , 中楼层(共18层) , 2007年建 , 板楼,
金泓凯旋城二期 ,宝安中心,5室2厅 , 185.33平米 , 南 北 , 精装 , 中楼层(共24层) , 2008年建 , 塔楼,
桃源居十五区 ,桃源居,5室2厅 , 154.53平米 , 东南 , 其他 , 低楼层(共18层) , 2007年建 , 板楼,
畔山御景花园 ,松岗,2室2厅 , 76.33平米 , 东南 , 其他 , 低楼层(共26层) , 2010年建 , 板塔结合,
丽沙花都 ,沙井,5室2厅 , 186.74平米 , 南 东北 , 其他 , 高楼层(共10层) , 2004年建 , 板塔结合,
中海西岸华府北区 ,松岗,4室2厅 , 129平米 , 东南 , 精装 , 低楼层(共27层) , 2008年建 , 板塔结合,
丽景城 ,西乡,3室2厅 , 96.63平米 , 东南 , 其他 , 高楼层(共19层) , 2003年建 , 板塔结合,
槟城西岸 ,碧海,5室1厅 , 107平米 , 西南 , 简装 , 30层 , 2008年建 , 板楼,
怀德公元 ,福永,5室2厅 , 134.96平米 , 东南 , 精装 , 高楼层(共26层)  , 塔楼,,
阳光新居 ,西乡,6室2厅 , 110.41平米 , 南 北 , 其他 , 高楼层(共8层) , 1994年建 , 板塔结合,
松茂御龙湾 ,碧海,5室2厅 , 272.79平米 , 东南 , 精装 , 高楼层(共28层) , 2015年建 , 板塔结合,
豪城馨庭居 ,翻身,4室2厅 , 118.56平米 , 东南 , 其他 , 中楼层(共11层) , 2002年建 , 板塔结合,
山语华庭 ,西乡,4室2厅 , 141平米 , 南 北 , 其他 , 中楼层(共25层) , 2007年建 , 板塔结合,
天御 ,宝安中心,4室2厅 , 161.82平米 , 南 北 , 毛坯 , 中楼层(共29层) , 2013年建 , 板塔结合,
泰华商业城 ,新安,4室2厅 , 118.2平米 , 东南 , 简装 , 中楼层(共8层) , 1998年建 , 板塔结合,
第五大道高发西岸花园一期 ,宝安中心,4室2厅 , 149.38平米 , 南 北 , 精装 , 22层 , 2007年建 , 板塔结合,
招商华侨城曦城二期 ,曦城,6室2厅 , 256.64平米 , 东南 , 毛坯 , 1层 , 2008年建 , 暂无数据 , 联排别墅 
宏发领域 ,宝安中心,6室2厅 , 225平米 , 西南 , 精装 , 23层 , 2007年建 , 板塔结合,
润科华府 ,曦城,5室2厅 , 142.42平米 , 南 , 精装 , 低楼层(共30层) , 2018年建 , 塔楼,
龙翔山庄 ,福永,6室1厅 , 305.32平米 , 东南 , 精装 , 1层 , 1997年建 , 板塔结合 , 独栋别墅 
泰华阳光海小区 ,碧海,4室2厅 , 113.53平米 , 南 , 其他 , 25层 , 2009年建 , 板塔结合,
中洲华府 ,新安,5室1厅 , 187.21平米 , 东南 西北 , 其他 , 中楼层(共31层) , 2013年建 , 板塔结合,
幸福海岸二期 ,宝安中心,5室2厅 , 157.52平米 , 东南 , 其他 , 32层 , 2008年建 , 塔楼,
碧涛苑 ,新安,5室2厅 , 139.43平米 , 西北 , 简装 , 中楼层(共12层) , 1998年建 , 板塔结合,
天欣花园二期 ,福永,5室2厅 , 100.57平米 , 东 , 精装 , 高楼层(共12层) , 2004年建 , 板塔结合,
槟城西岸 ,碧海,5室2厅 , 89.33平米 , 东南 , 精装 , 30层 , 2008年建 , 板楼,
